Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  #11938080   #11930928   #11910507   #11843489   #11779381   #11727358

========================================================================
  RESCHEDULE / CANCELLATION  [REVIEW]  --  21 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  i want to reschedule my ride 10:23 am i ...      Open      26 Mar, 26     #12009088
  i missed my bus 9:03 am i want to cancel... [R]  Open      26 Mar, 26     #12008347
  i missed my bus 9:03 am i want to cancel... [R]  Open      26 Mar, 26     #12008346
  i missed my bus 8:44 am i want a later b...      Open      26 Mar, 26     #12008072
  i want to reschedule my ride 8:12 am i w...      Open      26 Mar, 26     #12007573
  main menu 7:53 am i want to reschedule m...      Open      26 Mar, 26     #12007028
  i missed my bus 7:25 am i want a later b... [R]  Open      26 Mar, 26     #12006616
  main menu 7:53 pm i missed my bus 7:53 p...      Open      25 Mar, 26     #12002010
  i missed my bus 7:38 pm i want to cancel... [R]  Open      25 Mar, 26     #12001917
  i want to reschedule my ride 6:58 pm i w...      Open      25 Mar, 26     #12001336
  i missed my bus 6:32 pm i want a later b...      Open      25 Mar, 26     #12000899
  i missed my bus 4:26 pm i want a later b...      Open      25 Mar, 26     #11998288
  main menu 1:09 am i want to reschedule m... [R]  Open      24 Mar, 26     #11989661
  i missed my bus 7:36 pm i want a later b...      Open      24 Mar, 26     #11986136
  i want to reschedule my ride 4:58 pm i w...      Open      24 Mar, 26     #11983058
  hello

yesterday’s ride was delayed henc...      Open      24 Mar, 26     #11982059
  i missed my bus 6:01 pm i want a later b... [R]  Open      23 Mar, 26     #11968750
  app issue 8:42 am i missed my buse due t...      Open      23 Mar, 26     #11962254
  i want to reschedule my ride 12:31 pm i ...      Open      19 Mar, 26     #11944109
  i missed my bus 8:38 am i want to cancel... [R]  Open      17 Mar, 26     #11917067
  i want to reschedule my ride 3:17 am i w...      Open      15 Mar, 26     #11898672

  Ticket IDs:
  #12009088   #12008347   #12008346   #12008072   #12007573   #12007028   #12006616   #12002010
  #12001917   #12001336   #12000899   #11998288   #11989661   #11986136   #11983058   #11982059
  #11968750   #11962254   #11944109   #11917067   #11898672

========================================================================
  APP / BOOKING ISSUE  [REVIEW]  --  85 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  app issue 11:17 am unable to book ride 1...      Open      26 Mar, 26     #12009548
  app issue 11:06 am app not working 11:06... [R]  Open      26 Mar, 26     #12009466
  app issue 10:22 am app not working 10:22...      Open      26 Mar, 26     #12009078
  app issue 9:57 am unable to book ride 9:...      Open      26 Mar, 26     #12008884
  app issue 9:42 am slow app 9:42 am 9:45 ... [R]  Open      26 Mar, 26     #12008738
  app issue 9:29 am unable to cancel/resch...      Open      26 Mar, 26     #12008618
  app issue 8:48 am slow app 8:48 am yes 8... [R]  Open      26 Mar, 26     #12008154
  app issue 8:38 am unable to cancel/resch...      Open      26 Mar, 26     #12007993
  app issue 8:16 am unable to cancel/resch...      Open      26 Mar, 26     #12007643
  app issue 8:02 am unable to cancel/resch...      Open      26 Mar, 26     #12007413
  app issue 6:51 am unable to book ride 6:...      Open      26 Mar, 26     #12006033
  app issue 6:06 am slow app 6:06 am yes 6... [R]  Open      26 Mar, 26     #12005654
  app issue 12:58 am unable to book ride 1... [R]  Open      25 Mar, 26     #12005323
  app issue 12:30 am app not working 12:30...      Open      25 Mar, 26     #12005184
  app issue 11:45 pm unable to book ride 1...      Open      25 Mar, 26     #12004891
  app issue 11:21 pm unable to cancel/resc... [R]  Open      25 Mar, 26     #12004687
  app issue 11:13 pm unable to book ride 1...      Open      25 Mar, 26     #12004583
  app issue 10:59 pm app not working 10:59...      Open      25 Mar, 26     #12004436
  i tried to book a second ticket, i did t...      Open      25 Mar, 26     #12003963
  app issue 10:17 pm app not working 10:17...      Open      25 Mar, 26     #12003872
  app issue 10:08 pm unable to book ride 1...      Open      25 Mar, 26     #12003720
  app issue 8:34 pm unable to cancel/resch...      Open      25 Mar, 26     #12002561
  app issue 8:23 pm unable to book ride 8:...      Open      25 Mar, 26     #12002430
  app issue 8:21 pm app was not working 8:...      Open      25 Mar, 26     #12002405
  app issue 8:19 pm unable to book ride 8:...      Open      25 Mar, 26     #12002392
  app issue 8:08 pm app not working 8:08 p...      Open      25 Mar, 26     #12002247
  app issue 7:51 pm 7:52 pm smelly curtain...      Open      25 Mar, 26     #12002066
  app issue 7:41 pm slow app 7:41 pm yes 7... [R]  Open      25 Mar, 26     #12001956
  app issue 7:02 pm app not working 7:03 p...      Open      25 Mar, 26     #12001393
  app issue 6:57 pm app not working 6:57 p...      Open      25 Mar, 26     #12001311
  app issue 6:56 pm app was not working 6:... [R]  Open      25 Mar, 26     #12001292
  app issue 6:41 pm unable to cancel/resch...      Open      25 Mar, 26     #12001072
  app issue 6:27 pm unable to cancel/resch... [R]  Open      25 Mar, 26     #12000797
  app issue 6:25 pm app not working 6:25 p... [R]  Open      25 Mar, 26     #12000786
  app issue 6:23 pm unable to book ride 6:...      Open      25 Mar, 26     #12000744
  app issue 6:18 pm slow app 6:18 pm this ...      Open      25 Mar, 26     #12000643
  app issue 6:16 pm app not working 6:16 p... [R]  Open      25 Mar, 26     #12000592
  app issue 6:04 pm app not working 6:04 p...      Open      25 Mar, 26     #12000357
  app issue 5:30 pm app not working 5:30 p...      Open      25 Mar, 26     #11999647
  app issue 5:16 pm unable to cancel/resch... [R]  Open      25 Mar, 26     #11999321
  suggestions: route, timing, stop 5:15 pm...      Open      25 Mar, 26     #11999288
  app issue 5:05 pm unable to book ride 5:...      Open      25 Mar, 26     #11999053
  app issue 4:51 pm unable to book ride 4:...      Open      25 Mar, 26     #11998751
  app issue 4:47 pm unable to cancel/resch... [R]  Open      25 Mar, 26     #11998674
  app issue 4:24 pm unable to book ride 4:...      Open      25 Mar, 26     #11998247
  app issue 4:20 pm unable to book ride 4:...      Open      25 Mar, 26     #11998178
  app issue 4:14 pm app not working 4:14 p...      Open      25 Mar, 26     #11998056
  app issue 3:58 pm app not working 3:58 p...      Open      25 Mar, 26     #11997792
  app issue 3:55 pm unable to cancel/resch... [R]  Open      25 Mar, 26     #11997724
  app issue 3:52 pm app was not working 3:... [R]  Open      25 Mar, 26     #11997674
  it sounds like there’s a mismatch betwee...      Open      25 Mar, 26     #11996432
  app issue 1:19 pm unable to cancel/resch...      Open      25 Mar, 26     #11996133
  app issue 1:17 pm app not working 1:18 p...      Open      25 Mar, 26     #11996121
  app issue 9:49 am app not working 9:50 a... [R]  Open      25 Mar, 26     #11994384
  app issue 12:40 am slow app 12:40 am 12:... [R]  Open      24 Mar, 26     #11989580
  app issue 12:11 am app was not working 1... [R]  Open      24 Mar, 26     #11989403
  main menu 11:39 pm app issue 11:39 pm ap...      Open      24 Mar, 26     #11989041
  app issue 7:14 pm app was not working 7:... [R]  Open      24 Mar, 26     #11985828
  app issue 6:34 pm app issue 6:34 pm slow...      Open      24 Mar, 26     #11985146
  app issue 4:20 pm unable to book ride 4:...      Open      24 Mar, 26     #11982369
  unable to book ride for 27th as ride pac...      Open      24 Mar, 26     #11982026
  app issue 2:47 pm unable to book ride 2:...      Open      24 Mar, 26     #11981133
  app issue 2:43 pm unable to book ride 2:...      Open      24 Mar, 26     #11981089
  app issue 8:44 am app not working 8:44 a... [R]  Open      24 Mar, 26     #11977928
  app issue 8:06 am slow app 8:06 am yes 8...      Open      24 Mar, 26     #11976831
  app issue 8:02 am slow app 8:02 am yes 8...      Open      24 Mar, 26     #11976686
  app issue 7:45 am app not working 7:45 a...      Open      24 Mar, 26     #11976066
  app issue 2:28 pm app not working 2:28 p... [R]  Open      23 Mar, 26     #11965544
  app issue 12:16 am unable to cancel/resc...      Open      19 Mar, 26     #11947794
  app issue 12:09 pm app not working 12:09...      Open      19 Mar, 26     #11944060
  app issue 11:40 am unable to book ride 1...      Open      19 Mar, 26     #11943984
  app issue 9:29 am unable to book ride 9:...      Open      19 Mar, 26     #11943637
  app issue 9:56 am unable to book ride 9:...      Open      18 Mar, 26     #11933875
  app issue 6:21 am unable to book ride 6:...      Open      18 Mar, 26     #11929546
  app issue 8:36 am unable to book ride 8:...      Open      17 Mar, 26     #11917013
  app issue 2:08 pm app was not working 2:... [R]  Open      16 Mar, 26     #11904414
  app issue 9:21 pm slow app 9:21 pm yes 9... [R]  Open      12 Mar, 26     #11880408
  app issue 8:49 am app not working 8:49 a...      Open      12 Mar, 26     #11871667
  app issue 5:37 pm slow app 5:38 pm yes 5... [R]  Open      11 Mar, 26     #11862443
  app issue 3:27 pm app was not working 3:... [R]  Open      11 Mar, 26     #11860272
  app issue 9:56 pm slow app 9:56 pm yes 9...      Open      10 Mar, 26     #11850800
  app issue 8:51 am slow app 8:51 am yes 8... [R]  Open      10 Mar, 26     #11841241
  app issue 6:03 pm app not working 6:03 p...      Open      09 Mar, 26     #11832185
  app issue 2:17 pm app was not working 2:...      Open      09 Mar, 26     #11828563
  app issue 6:23 pm unable to cancel/resch...      Open      06 Mar, 26     #11816150

  Ticket IDs:
  #12009548   #12009466   #12009078   #12008884   #12008738   #12008618   #12008154   #12007993
  #12007643   #12007413   #12006033   #12005654   #12005323   #12005184   #12004891   #12004687
  #12004583   #12004436   #12003963   #12003872   #12003720   #12002561   #12002430   #12002405
  #12002392   #12002247   #12002066   #12001956   #12001393   #12001311   #12001292   #12001072
  #12000797   #12000786   #12000744   #12000643   #12000592   #12000357   #11999647   #11999321
  #11999288   #11999053   #11998751   #11998674   #11998247   #11998178   #11998056   #11997792
  #11997724   #11997674   #11996432   #11996133   #11996121   #11994384   #11989580   #11989403
  #11989041   #11985828   #11985146   #11982369   #11982026   #11981133   #11981089   #11977928
  #11976831   #11976686   #11976066   #11965544   #11947794   #11944060   #11943984   #11943637
  #11933875   #11929546   #11917013   #11904414   #11880408   #11871667   #11862443   #11860272
  #11850800   #11841241   #11832185   #11828563   #11816150

========================================================================
  OTHER / UNCLEAR  [REVIEW]  --  29 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  sure. 9:40 am                                   Open      26 Mar, 26     #12008023
  i cancelled my ride 20 mins before the b...      Open      26 Mar, 26     #12007722
  i had selected monday to activate the un...      Open      26 Mar, 26     #12007441
  main menu 7:53 am 8:07 am cooling needed...      Open      26 Mar, 26     #12007157
  booked a ride for the 8                         Open      26 Mar, 26     #12005745
  payment for my second ticket was deducte...      Open      25 Mar, 26     #12004085
  i am on long leave hence not traveling s...      Open      25 Mar, 26     #12002198
  the bus was delayed by 24 mins so it was...      Open      25 Mar, 26     #12001335
  i want to cancel my ride pack 6:13 pm ye...      Open      25 Mar, 26     #12000549
  no doubt 6:15 pm close 6:15 pm                  Open      25 Mar, 26     #12000427
  what’s the update ? 6:16 pm                     Open      25 Mar, 26     #11995438
  okay 8:33 am are u therem 8:34 am there*...      Open      25 Mar, 26     #11993234
  hello 11:36 pm i have taken unlimited ri...      Open      24 Mar, 26     #11989112
  1 free ride is given by cityflo due to n...      Open      24 Mar, 26     #11988922
  i am at bus no                                  Open      24 Mar, 26     #11987757
  hi i was out of town so couldn't take ri...      Open      24 Mar, 26     #11986533
  i want to cancel my pass 7:44 pm yes 7:4...      Open      24 Mar, 26     #11986268
  my ride was deducted i had to cancel due...      Open      24 Mar, 26     #11985181
  okay thank you 3:56 pm                          Open      24 Mar, 26     #11983950
  hi is there any update? 5:34 pm                 Open      24 Mar, 26     #11979875
  hi i had booked a seat for tofay using m...      Open      24 Mar, 26     #11978331
  fake promise, this won't b fixed, they p... [R]  Open      23 Mar, 26     #11970945
  i have booked the monthly unlimited pack...      Open      23 Mar, 26     #11966733
  hi i have pack valid till 27th march, i ...      Open      20 Mar, 26     #11954153
  main menu 5:27 pm                               Open      20 Mar, 26     #11952685
  main menu 6:19 pm 6:23 pm when my query ...      Open      19 Mar, 26     #11945300
  yesterday my bus got cancelled by cutyfl...      Open      17 Mar, 26     #11916997
  i want full refund of this pack as there...      Open      17 Mar, 26     #11915290
  whenever i have changed the seat in this...      Open      12 Mar, 26     #11871243

  Ticket IDs:
  #12008023   #12007722   #12007441   #12007157   #12005745   #12004085   #12002198   #12001335
  #12000549   #12000427   #11995438   #11993234   #11989112   #11988922   #11987757   #11986533
  #11986268   #11985181   #11983950   #11979875   #11978331   #11970945   #11966733   #11954153
  #11952685   #11945300   #11916997   #11915290   #11871243

========================================================================
  AC ISSUE  [AUTO-CLOSE]  --  64 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  i had an issue with ac 10:52 am ac was n... [R]  Open      26 Mar, 26     #12009326
  i had an issue with ac 10:49 am ac was n... [R]  Open      26 Mar, 26     #12009300
  i had an issue with ac 10:41 am ac was v... [R]  Open      26 Mar, 26     #12009229
  i have an issue with ac 9:20 am ac is no... [R]  Open      26 Mar, 26     #12008547
  i had an issue with ac 9:17 am ac was ve... [R]  Open      26 Mar, 26     #12008511
  i have an issue with ac 9:05 am ac is no...      Open      26 Mar, 26     #12008372
  i had an issue with ac 8:52 am ac was ve...      Open      26 Mar, 26     #12008190
  i have an issue with ac 8:10 am ac vent ...      Open      26 Mar, 26     #12007536
  i have an issue with ac 8:08 am ac is no... [R]  Open      26 Mar, 26     #12007505
  i had an issue with ac 8:00 am ac was ve... [R]  Open      26 Mar, 26     #12007375
  i have an issue with ac 7:52 am ac vent ...      Open      26 Mar, 26     #12007197
  i have an issue with ac 7:45 am ac vent ...      Open      26 Mar, 26     #12007057
  i have an issue with ac 7:32 am ac is no...      Open      26 Mar, 26     #12006771
  i had an issue with ac 7:30 am ac was ve... [R]  Open      26 Mar, 26     #12006709
  i had an issue with ac 7:28 am ac was no... [R]  Open      26 Mar, 26     #12006681
  i have an issue with ac 7:23 am ac vent ... [R]  Open      26 Mar, 26     #12006595
  i had an issue with ac 6:21 am ac was ve... [R]  Open      26 Mar, 26     #12005728
  i had an issue with ac 10:31 pm ac was n... [R]  Open      25 Mar, 26     #12004090
  i had an issue with ac 9:16 pm ac was no... [R]  Open      25 Mar, 26     #12003015
  i have an issue with ac 7:30 pm ac is no...      Open      25 Mar, 26     #12001816
  i have an issue with ac 7:25 pm ac is no...      Open      25 Mar, 26     #12001737
  i have an issue with ac 7:23 pm ac is no...      Open      25 Mar, 26     #12001708
  i have an issue with ac 7:22 pm decrease... [R]  Open      25 Mar, 26     #12001697
  i have an issue with ac 5:59 pm ac is no... [R]  Open      25 Mar, 26     #12000264
  i have an issue with ac 5:50 pm ac vent ... [R]  Open      25 Mar, 26     #12000084
  bus quality and hygiene issue 5:40 pm bu... [R]  Open      25 Mar, 26     #11999866
  i have an issue with ac 5:30 pm ac is no...      Open      25 Mar, 26     #11999655
  i have an issue with ac 5:13 pm ac vent ... [R]  Open      25 Mar, 26     #11999240
  i had an issue with ac 3:59 pm ac was no... [R]  Open      25 Mar, 26     #11997796
  i had an issue with ac 12:48 pm ac vent ...      Open      25 Mar, 26     #11995931
  i have an issue with ac 8:43 am ac vent ...      Open      25 Mar, 26     #11993508
  i have an issue with ac 8:38 am main men...      Open      25 Mar, 26     #11993422
  where is my bus 8:25 am main menu 8:28 a... [R]  Open      25 Mar, 26     #11993165
  i had an issue with ac 8:22 am ac was no... [R]  Open      25 Mar, 26     #11993097
  i had an issue with ac 12:44 am ac was n... [R]  Open      24 Mar, 26     #11989594
